id,code,name,category_lvl1,category_lvl2,nature_analytique,entity,visibility_scope,profile_description,billability_default,project_required,expected_deliverable
activity_gen_adm_01,GEN-ADM-01,Reporting,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Rapport ou mise à jour transmise
activity_gen_adm_02,GEN-ADM-02,Outils de suivi,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Outil mis à jour / référence de tâche
activity_gen_adm_03,GEN-ADM-03,Documentation et archivage,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Document classé ou archivé
activity_gen_adm_04,GEN-ADM-04,Correspondances,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Courriel ou courrier traité
activity_gen_adm_05,GEN-ADM-05,Réunions internes générales,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,non,Compte rendu ou actions enregistrées
activity_gen_adm_06,GEN-ADM-06,Procédures et modèles,Activités communes,Administration,amelioration_interne,Toutes entités,all,Tous les employés,non_facturable,recommande,Procédure ou modèle produit
activity_gen_adm_07,GEN-ADM-07,Saisie et contrôle de données,Activités communes,Administration,administration,Toutes entités,all,Tous les employés,non_facturable,recommande,Base ou fichier mis à jour
activity_gen_adm_08,GEN-ADM-08,Coordination inter-départements,Activités communes,Administration,coordination_interne,Toutes entités,all,Tous les employés,non_facturable,non,Actions ou compte rendu
activity_gen_adm_09,GEN-ADM-09,Support administratif ponctuel,Activités communes,Administration,administration,Toutes entités,all,"Tous les employés (usage exceptionnel, commentaire détaillé requis)",non_facturable,non,Description obligatoire
activity_gen_mgt_01,GEN-MGT-01,Planification et priorisation,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Plan de travail ou priorités
activity_gen_mgt_02,GEN-MGT-02,Supervision et encadrement,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Points de suivi / actions
activity_gen_mgt_03,GEN-MGT-03,Revue et validation,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,selon_projet,oui,Livrable revu ou validé
activity_gen_mgt_04,GEN-MGT-04,Suivi des KPI et de la performance,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,non_facturable,recommande,Tableau de bord / plan d'action
activity_gen_mgt_05,GEN-MGT-05,Gestion des risques et blocages,Activités communes,Management et gouvernance,management,Toutes entités,managers,Managers et responsables,selon_projet,oui,Registre risques / décision
activity_gen_mgt_06,GEN-MGT-06,CODIR et comités de gouvernance,Activités communes,Management et gouvernance,gouvernance,Toutes entités,managers,Managers et responsables,non_facturable,non,"Support, CR ou décisions"
activity_bd_01,BD-01,Identification de prospects,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,recommande,Liste de prospects
activity_bd_02,BD-02,Qualification d'opportunité,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Fiche opportunité
activity_bd_03,BD-03,Prospection et prise de contact,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Activité CRM
activity_bd_04,BD-04,Réunion de découverte,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Compte rendu
activity_bd_05,BD-05,Préparation d'offre ou proposition,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Offre ou proposition
activity_bd_06,BD-06,Négociation commerciale,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Version négociée / CR
activity_bd_07,BD-07,Contractualisation commerciale,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,Contrat ou mandat
activity_bd_08,BD-08,Mise à jour du pipeline et CRM,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,non_facturable,oui,CRM à jour
activity_bd_09,BD-09,Gestion de compte et fidélisation,Activités communes,Développement commercial,developpement_commercial,Toutes entités,commercial,Business Development; Responsables d'entité; Commerciaux,selon_contrat,oui,Compte rendu / plan de compte
